paper title (separate scrape),paper authors (separate scrape),title,paper identifier,paper link,impact statement,impact statement title,word count,sentence count,opt out,ambiguous opt out,manually corrected,human review,Image based PDF,paper title (subjects),primary subject area,secondary subject areas,clustering subject preference,authors,affiliations,academic,industry,mixed,country
A graph similarity for deep learning,Seongmin Ok,A Graph Similarity for Deep Learning,0004d0b59e19461ff126e3a08a814c33,https://proceedings.neurips.cc/paper/2020/file/0004d0b59e19461ff126e3a08a814c33-Paper.pdf,"This article mainly discusses two topics: how to measure similarity between graphs, and how to learn from graphs. One of the most important subjects in both fields is the molecular graph. A chemically meaningful similarity between molecules helps find new drugs and invent new materials of great value. Many chemical search engines support similarity search based on fingerprints, which indicate the existence of certain substructures. The fingerprints have been useful to find molecules of interest, but they are inherently limited to local properties. The proposed graph similarity is simple, fast and efficient. The proposed graph neural network reports particular strength in molecular property prediction and molecular graph generation, albeit not studied extensively. It is possible that the proposed algorithms provide another, global perspective to molecular similarity. Another task for which the proposed neural network showed strength is the node classification. The node classification is mostly used to automatically categorize articles, devices, people, and other entities in interconnected networks at large scale. Some related examples include identifying false accounts in social network services, classifying a person for a recommendation system based on its friends’ interest, and detecting malicious edge-devices in Internet of Things or mobile networks. As with every machine learning applications, assessing and understanding the data is crucial in such cases. Especially in graph-structured data, we believe that the characteristic of data is the most important factor in deciding which graph learning algorithm to use. It is necessary to understand the principle and limitation of an algorithm to prevent failure. For example, our method has two caveats. First, it uses sum to collect information from the neighbors, and hence more suitable when the counts indeed matter and not just the distributions. Second, our method decides the similarity between two graphs using the local information. Hence when the ""global"" graph properties such as hamiltonicity, treewidth, and chromatic number are the deciding factor, our algorithm might not be the best choice. Graph learning in general are being applied to more and more tasks and applications. Some of the examples include recommendation systems, transportation analysis, and credit assignments. However, the study of risks regarding graph learning, such as adversarial attack, privacy protection, ethics and biases are still at an early stage. In practice, we should be warned about such risks and devise testing and monitoring framework from the start to avoid undesirable outcomes.",Broader impact,390,22,,,FALSE,FALSE,FALSE,A graph similarity for deep learning,Algorithms -> Representation Learning,Algorithms -> Similarity and Distance Learning,Deep learning,['Seongmin Ok'],{'Samsung Advanced Institute of Technology'},0,1,0,{'South Korea'}
An Unsupervised Information-Theoretic Perceptual Quality Metric,"Sangnie Bhardwaj, Ian Fischer, Johannes Ballé, Troy Chinen",An Unsupervised Information-Theoretic Perceptual Quality Metric,00482b9bed15a272730fcb590ffebddd,https://proceedings.neurips.cc/paper/2020/file/00482b9bed15a272730fcb590ffebddd-Paper.pdf,"Many deep perceptual image metrics rely on the collection of large datasets of rated images as training data; such data could reflect the biases of human raters. While we cannot claim that PIM is free of bias, by being completely unsupervised, one possible source of bias is removed. The broad concern about AI reducing work opportunities, in this case, seems inapplicable. Perceptual metrics are most often used as loss functions in the development of some other product, but the final quality ultimately needs to be verified by human eye. We envision this need for verification continuing into the foreseeable future. On the other hand, good perceptual metrics have the potential to enable other research and technology which improves the lives of AI consumers, as well as reduce the burden on researchers of frequent, tiresome – and often infeasible at scale – human evaluations.",Broader Impact,143,6,FALSE,FALSE,FALSE,FALSE,FALSE,An Unsupervised Information-Theoretic Perceptual Quality Metric,Neuroscience and Cognitive Science -> Visual Perception,Algorithms -> Representation Learning; Algorithms -> Unsupervised Learning; Theory -> Information Theory,Neuroscience and cognitive science,"['Sangnie Bhardwaj', ' Ian Fischer', ' Johannes Ballé', ' Troy Chinen']","{'Google', 'Google LLC'}",0,1,0,{'USA'}
Self-Supervised MultiModal Versatile Networks,"Jean-Baptiste Alayrac, Adria Recasens, Rosalia Schneider, Relja Arandjelović, Jason Ramapuram, Jeffrey De Fauw, Lucas Smaira, Sander Dieleman, Andrew Zisserman",Self-Supervised MultiModal Versatile Networks,0060ef47b12160b9198302ebdb144dcf,https://proceedings.neurips.cc/paper/2020/file/0060ef47b12160b9198302ebdb144dcf-Paper.pdf,"Potential benefits. Our method can enable a better user experience when searching for visual or audio content on the web since we can index that type of media based on our learned multimodal embeddings. More broadly, learning video representations without labels in such a self-supervised manner greatly increases the scale at which we can train models, to the extent of leveraging any available collection of web video data. This enables capturing a more representative view of the overall distribution of web content as opposed to smaller scale curated datasets such as Kinetics. We believe this can be an important factor in designing methods that better understand whether or not a given content is safe ( e.g . to filter out violent or undesired web content) thanks to the better coverage of the overall distribution. Potential risks. Every method that learns from data, self-supervised methods even more deeply so, brings the risk of learning biases and perpetuating them in the form of decisions. We encourage the deployment of our method to be done with careful consideration of the consequences from any potential underlying biases in the data.",6 Broader impact,186,9,,,FALSE,FALSE,FALSE,Self-Supervised MultiModal Versatile Networks,Algorithms -> Representation Learning,Applications -> Computer Vision,"Learning with limited supervision (e.g., unsupervised learning, active learning, few-shot, meta-learning, transfer learning, etc.)","['Baptiste Alayrac', ' Adria Recasens', ' Rosalia Schneider', ' Relja Arandjelović', ' Jason Ramapuram', ' Jeffrey De Fauw', ' Lucas Smaira', ' Sander Dieleman', ' Andrew Zisserman']","{'DeepMind', 'Deepmind', 'University of Geneva'}",1,1,1,"{'UK', 'Switzerland'}"
"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method","Simiao Ren, Willie Padilla, Jordan Malof","Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method",007ff380ee5ac49ffc34442f5c2a2b86,https://proceedings.neurips.cc/paper/2020/file/007ff380ee5ac49ffc34442f5c2a2b86-Paper.pdf,"We believe the most proximate impacts of this work will be positive. In particular, higher-dimensional inverse problems like our meta-material problem present a major obstacle to the development of beneficial technologies across many disciplines e.g., in materials, chemistry, and bio-chemistry. The Neural-Adjoint method represents a tool to develop much more accurate inverse designs for these complex problems. Furthermore, the ability to replicate inverse studies for complex problems, as we propose, will also accelerate progress, and enable many researchers to study these problems even if they lack sophisticated simulation equipment or expertise. As with many tools, we also acknowledge that these advances can be used to accelerate the development of technologies that are used for negative purposes, which we believe is the most immediate negative outcome of our work.",Broader Impact,128,5,,,FALSE,FALSE,FALSE,"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method",Deep Learning,Algorithms -> Regression; Applications -> Information Retrieval; Deep Learning -> Deep Autoencoders; Deep Learning -> Generative Models; Deep Learning -> Supervised Deep Networks,Deep learning,"['Simiao Ren', ' Willie Padilla', ' Jordan Malof']",{'Duke University'},1,0,0,{'USA'}
Off-Policy Evaluation and Learning for External Validity under a Covariate Shift,"Masatoshi Uehara, Masahiro Kato, Shota Yasui",Off-Policy Evaluation and Learning for External Validity under a Covariate Shift,0084ae4bc24c0795d1e6a4f58444d39b,https://proceedings.neurips.cc/paper/2020/file/0084ae4bc24c0795d1e6a4f58444d39b-Paper.pdf,"Because the policies in sequential decision-making problems are critical in various real-world applications, the OPE methods are employed to evaluate the new policy and reduce the risk of deploying a poor policy. We focus on the OPE under a covariate shift between a historical and evaluation data. This setting has many practical applications. For example, in the advertising applications, we usually deliver advertisements only in the particular region to test the market in the beginning of the planned advertising campaign, then expand to other regions that have different feature distribution. Thus, we face the covariate shift in the evaluation and training a new policy for the new region. Despite its practical importance, the OPE methods under the covariate shift have not been researched well, and people apply standard OPE methods to cases under the covariate shift. For instance, Hirano et al. (2003a) briefly discuss such a setting in Section 4.2, but did not discuss estimation of the density ratio, i.e., simply considered a case where the density ratio is known. As we explained, the standard methods are not robust against the covariate shift. Among the standard methods, the IPW estimator is not consistent, and the DM and DR estimator has consistency when the model of conditional outcome is correct. In particular, under a covariate shift, the standard DR estimator is not doubly robust; i.e., it is consistent only when the model of conditional outcome is correct. Thus, the standard estimator has a potential risk to mislead the user’s decision making and might cause serious problems in the industry because many decision makings such as ad-optimization rely on the result of the evaluation. On the other hand, the proposed estimator is doubly robust. This robustness helps to avert the potential consequences of incorrect decision-making.",Broader Impact,293,14,,,FALSE,FALSE,FALSE,Off-Policy Evaluation and Learning for External Validity under a Covariate Shift,Probabilistic Methods -> Causal Inference,,Causality,"['Masatoshi Uehara', ' Masahiro Kato', ' Shota Yasui']","{'Cornell University', 'Cyberagent', 'The University of Tokyo'}",1,1,1,"{'Japan', 'USA'}"
Neural Methods for Point-wise Dependency Estimation,"Yao-Hung Hubert Tsai, Han Zhao, Makoto Yamada, Louis-Philippe Morency, Russ R. Salakhutdinov",Neural Methods for Point-wise Dependency Estimation,00a03ec6533ca7f5c644d198d815329c,https://proceedings.neurips.cc/paper/2020/file/00a03ec6533ca7f5c644d198d815329c-Paper.pdf,"This paper presents methods for estimating point-wise dependency between high-dimensional data using neural networks. This work may benefit the applications that require understanding instance- level dependency. Take adversarial samples detection as an example: we can perform point-wise dependency estimation between data and label, and the ones with low point-wise dependency can be regarded as adversarial samples. We should also be aware of the malicious usage for our framework. For instance, people with bad intentions can use our framework to detect samples that have a high point-wise dependency with their of-interest private attributes. Then, these detected samples may be used for malicious purposes.",Broader Impact,102,6,,,FALSE,FALSE,FALSE,Neural Methods for Point-wise Dependency Estimation,Algorithms -> Relational Learning,Algorithms -> Representation Learning; Algorithms -> Similarity and Distance Learning; Deep Learning,"Core machine learning methods (e.g., supervised learning, ranking, clustering, metric learning, etc.)","['Hung Hubert Tsai', ' Han Zhao', ' Makoto Yamada', 'Philippe Morency', ' Russ Salakhutdinov']","{'Kyoto University/RIKEN AIP', 'Carnegie Mellon University'}",1,0,0,"{'Japan', 'USA'}"
Fast and Flexible Temporal Point Processes with Triangular Maps,"Oleksandr Shchur, Nicholas Gao, Marin Biloš, Stephan Günnemann",Fast and Flexible Temporal Point Processes with Triangular Maps,00ac8ed3b4327bdd4ebbebcb2ba10a00,https://proceedings.neurips.cc/paper/2020/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf,"Existing works have applied TPPs and MJPs for analyzing electronic health records [61, 62], detecting anomalies in network traffic [63, 64] and modeling user behavior on online platforms [65, 66]. Thanks to fast sampling, our model can be used for solving new prediction tasks on such data, and the overall improved scalability allows practitioners to work with larger datasets. We do not find any of the above use cases ethically questionable, though, general precautions must be implemented when handling sensitive personal data. Since our model exploits fast parallel computations, has fewer parameters and converges in fewer iterations, it is likely to be more energy-efficient compared to RNN-based TPPs. However, we haven’t performed experiments analyzing this specific aspect of our model.",Broader impact,120,5,,,FALSE,FALSE,FALSE,Fast and Flexible Temporal Point Processes with Triangular Maps,Probabilistic Methods,Algorithms -> Density Estimation; Applications -> Time Series Analysis; Deep Learning -> Generative Models; Deep Learning -> Predictive Models; Probabilistic Methods -> Variational Inference,Probabilistic methods and inference,"['Oleksandr Shchur', ' Nicholas Gao', ' Marin Biloš', ' Stephan Günnemann']",{'Technical University of Munich'},1,0,0,{'Germany'}
Backpropagating Linearly Improves Transferability of Adversarial Examples,"Yiwen Guo, Qizhang Li, Hao Chen",Backpropagating Linearly Improves Transferability of Adversarial Examples,00e26af6ac3b1c1c49d7c3d79c60d000,https://proceedings.neurips.cc/paper/2020/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf,"This work can potentially contribute to deeper understanding of DNN models and the adversarial phenomenon. The reliability of different models are compared under practical adversarial attacks, making it possible for commercial machine-learning-as-a-service platforms to choose more suitable models for security-critical applications.",Broader Impact,41,2,FALSE,FALSE,FALSE,FALSE,FALSE,Backpropagating Linearly Improves Transferability of Adversarial Examples,Social Aspects of Machine Learning -> AI Safety,Algorithms -> Adversarial Learning; Deep Learning -> Analysis and Understanding of Deep Networks; Deep Learning -> CNN Architectures,Deep learning,"['Yiwen Guo', ' Qizhang Li', ' Hao Chen']","{'UC Davis', 'ByteDance AI Lab'}",1,1,1,"{'USA', 'China'}"
PyGlove: Symbolic Programming for Automated Machine Learning,"Daiyi Peng, Xuanyi Dong, Esteban Real, Mingxing Tan, Yifeng Lu, Gabriel Bender, Hanxiao Liu, Adam Kraft, Chen Liang, Quoc Le",PyGlove: Symbolic Programming for Automated Machine Learning,012a91467f210472fab4e11359bbfef6,https://proceedings.neurips.cc/paper/2020/file/012a91467f210472fab4e11359bbfef6-Paper.pdf,"Symbolic programming/PyGlove makes AutoML more accessible to machine learning practitioners, which means manual trial-and-error of many categories can be replaced by machines. This can also greatly increase the productivity of AutoML research, at the cost of increasing demand for computation, and – a result – increasing CO 2 emissions. We see a big potential in symbolic programming/PyGlove in making machine learning researchers more productive. On a new ground of mutable programs, experiments can be reproduced more easily, modified with lower cost, and shared like data. A large variety of experiments can co-exist in a shared code base that makes combining and comparing different techniques more convenient. Symbolic programming/PyGlove makes it much easier to develop search-based programs which can be used in a broad spectrum of research and product areas. Some potential areas, such as medicine design, have a clear societal benefit, while others potential applications, such as video surveillance, could improve security while raising new privacy concerns.",Broader Impact,157,7,,,FALSE,FALSE,FALSE,PyGlove: Symbolic Programming for Automated Machine Learning,"Data, Challenges, Implementations, and Software -> Software Toolkits",Algorithms -> AutoML,AutoML,"['Daiyi Peng', ' Xuanyi Dong', ' Esteban Real', ' Mingxing Tan', ' Yifeng Lu', ' Gabriel Bender', ' Hanxiao Liu', ' Adam Kraft', ' Chen Liang', ' Quoc V Le']","{'Google', 'University of Technology Sydney', 'Google Brain'}",1,1,1,"{'Australia', 'USA'}"
Fourier Sparse Leverage Scores and Approximate Kernel Learning,"Tamas Erdelyi, Cameron Musco, Christopher Musco",Fourier Sparse Leverage Scores and Approximate Kernel Learning,012d9fe15b2493f21902cd55603382ec,https://proceedings.neurips.cc/paper/2020/file/012d9fe15b2493f21902cd55603382ec-Paper.pdf,"Our work contributes to an improved understanding of sampling for kernel approximation and kernel- related function approximation problems. It ties together work in machine learning, signal processing, and approximation theory, which we feel has value in connecting different research communities. Our results in particular focus on low-dimensional interpolation problems, which arise in application areas such as geology, ecology and other scientific fields, medical imaging, and wireless communication. In many of these areas, data driven methods are used to effect positive societal change. As with all work on efficient learning methods, the algorithms we present, or future variants of them, have the potential to scale inference to even larger data sets than the current state of the art. This can lead to a variety of negative impacts. For example, it may drive the proliferation of massive data collection by corporations and governments for inference tasks, and thus contribute to the associated privacy risks of this data collection. Kernel methods and Gaussian process regression are extremely general tools, used in many applications, including those that may have negative society impacts, such are cell-phone localization, and human and other target tracking. It is possible that our techniques could be employed in these applications.",Broader Impacts,200,9,,,FALSE,FALSE,FALSE,Fourier Sparse Leverage Scores and Approximate Kernel Learning,Algorithms -> Kernel Methods,Applications -> Matrix and Tensor Factorization; Theory -> Spaces of Functions and Kernels,Theory (including computational and statistical analyses),"['Tamas Erdelyi', ' Cameron Musco', ' Christopher Musco']","{'New York University', 'Microsoft Research'}",1,1,1,{'USA'}
